Reclamação,Padrão da trinca?,Outras avarias observadas?,Quant de produtos defeituosos,Data fabricação,Classificação
1,NÃO,SIM,1,01/03/21,Não Procedente
2,SIM,NÃO,1,01/04/21,Não Procedente
3,NÃO,NÃO,2,01/05/21,Não Procedente
4,SIM,SIM,1,07/05/21,Não Procedente
5,SIM,SIM,1,28/05/21,Não Procedente
6,SIM,NÃO,5,07/07/21,Produção
7,SIM,NÃO,2,15/09/21,Não Procedente
8,SIM,SIM,1,17/09/21,Não Procedente
9,SIM,SIM,1,30/09/21,Não Procedente
10,SIM,NÃO,1,26/10/21,Não Procedente
11,SIM,NÃO,2,28/10/21,Não Procedente
12,SIM,SIM,1,29/10/21,Não Procedente
13,NÃO,SIM,1,10/11/21,Não Procedente
14,SIM,NÃO,1,26/01/22,Não Procedente
15,SIM,NÃO,1,02/02/22,Não Procedente
16,SIM,NÃO,2,04/02/22,Transporte
17,SIM,NÃO,2,04/02/22,Transporte
18,SIM,NÃO,1,17/02/22,Não Procedente
19,SIM,NÃO,1,09/03/22,Não Procedente
20,SIM,SIM,1,30/03/22,Não Procedente
21,SIM,NÃO,1,31/03/22,Não Procedente
22,SIM,NÃO,1,20/04/22,Não Procedente
23,SIM,NÃO,1,25/04/22,Não Procedente
24,SIM,NÃO,1,03/06/22,Não Procedente
25,SIM,NÃO,1,08/06/22,Não Procedente
26,SIM,NÃO,1,08/06/22,Não Procedente
27,SIM,NÃO,1,09/06/22,Não Procedente
28,NÃO,NÃO,1,02/08/22,Não Procedente
29,SIM,NÃO,1,05/12/22,Não Procedente
30,SIM,SIM,1,05/01/23,Não Procedente
31,SIM,NÃO,1,10/01/23,Não Procedente
32,SIM,SIM,2,23/01/23,Não Procedente
33,NÃO,SIM,1,27/01/23,Não Procedente
34,SIM,SIM,1,03/02/23,Não Procedente
35,SIM,NÃO,1,01/03/23,Não Procedente
36,SIM,SIM,1,13/04/23,Não Procedente
37,SIM,SIM,6,20/04/23,Transporte
38,SIM,NÃO,1,02/05/23,Não Procedente
39,SIM,NÃO,1,05/05/23,Não Procedente
40,SIM,SIM,2,18/05/23,Não Procedente
41,SIM,SIM,1,24/05/23,Não Procedente
42,SIM,SIM,3,15/06/23,Não Procedente
43,SIM,NÃO,4,19/06/23,Não Procedente
44,SIM,SIM,12,21/06/23,Transporte
45,SIM,SIM,4,05/07/23,Transporte
46,SIM,NÃO,1,26/07/23,Não Procedente
47,SIM,NÃO,1,21/08/23,Não Procedente
48,SIM,NÃO,4,21/08/23,Não Procedente
49,SIM,NÃO,2,30/08/23,Produção
50,SIM,SIM,1,04/09/23,Não Procedente
51,SIM,NÃO,1,06/09/23,Produção
52,SIM,NÃO,1,20/09/23,Não Procedente
53,SIM,NÃO,1,27/09/23,Não Procedente
54,SIM,SIM,1,01/10/23,Não Procedente
55,SIM,SIM,3,04/10/23,Transporte
56,SIM,SIM,1,19/10/23,Produção
57,SIM,NÃO,1,20/10/23,Não Procedente
58,SIM,NÃO,1,27/10/23,Não Procedente
59,SIM,NÃO,1,01/11/23,Transporte
60,SIM,SIM,2,17/11/23,Não Procedente
61,SIM,SIM,1,24/11/23,Produção
62,SIM,NÃO,1,24/11/23,Não Procedente
63,SIM,NÃO,15,01/12/23,Produção
64,SIM,SIM,3,01/12/23,Produção
65,SIM,SIM,2,04/12/23,Produção
66,SIM,SIM,3,19/12/23,Não Procedente
67,SIM,NÃO,6,21/12/23,Transporte
68,SIM,NÃO,6,21/12/23,Produção
69,SIM,NÃO,1,12/01/24,Produção
70,SIM,NÃO,30,20/01/24,Não Procedente
71,SIM,NÃO,22,23/01/24,Produção
72,SIM,SIM,3,23/01/24,Produção
73,SIM,NÃO,7,01/02/24,Produção
74,SIM,NÃO,5,02/02/24,Não Procedente
75,SIM,NÃO,1,02/02/24,Não Procedente
76,SIM,NÃO,4,06/02/24,Não Procedente
77,SIM,NÃO,1,07/02/24,Produção
78,SIM,SIM,1,14/02/24,Transporte
79,SIM,NÃO,1,22/02/24,Produção
80,SIM,NÃO,2,26/02/24,Produção
81,SIM,NÃO,1,28/02/24,Não Procedente
82,SIM,NÃO,89,01/03/24,Transporte
83,SIM,NÃO,1,01/03/24,Produção
84,SIM,SIM,8,01/03/24,Não Procedente
85,SIM,NÃO,3,01/03/24,Produção
86,SIM,NÃO,14,01/03/24,Produção
87,SIM,NÃO,3,08/03/24,Produção
88,SIM,SIM,9,14/03/24,Transporte
89,SIM,SIM,4,18/03/24,Transporte
90,SIM,NÃO,1,20/03/24,Não Procedente
91,SIM,NÃO,3,21/03/24,Produção
92,SIM,NÃO,1,27/03/24,Produção
93,SIM,NÃO,3,27/03/24,Produção
94,SIM,SIM,6,28/03/24,Produção
95,SIM,SIM,5,28/03/24,Transporte
96,SIM,SIM,53,01/04/24,Produção
97,SIM,NÃO,1,01/04/24,Produção
